menu.newgame,Neues Spiel
menu.continue,Fortsetzen
menu.jukebox,Musikbox
menu.options,Optionen
menu.credits,Credits
menu.language,Sprache
menu.language.english,English
menu.language.french,Français
menu.language.german,Deutsch
menu.language.italian,Italiano
menu.language.spanish,Español
menu.language.polish,Polski
menu.language.russian,Русский
menu.layout,Layout
menu.back,Zurück
menu.loading,Lade
menu.demo.thanks,Danke fürs Spielen dieser Demo!
menu.demo.credits,Entwickelt von Nikita Kryukov<br>Neu aufgelegt von Source Macchiato
menu.demo.links,Komm in unseren Discord Server! (Was hast du zu verlieren?) :<br>https://sourcemacchiato.com/discord<br><br>Nikita Kryukovs itch Seite :<br>https://nikita-kryukov.itch.io<br><br>(Drücke die HOME-Taste zum Verlassen)
menu.look.tv,Schau auf deinen Fernseher
menu.look.gamepad,Schau auf deinen GamePad
dialog.minicg.1,"Ich gehe in mein Zimmer und versuche, mich nicht umzusehen."
dialog.minicg.2,"Verspielte Schatten tanzen um mich herum, mal hier, mal da. Sie flitzen überall and den Wänden, die Decke..."
dialog.minicg.3,"Einer dieser Schatten flitzt and mir vorbei und berührt ganz leicht mein Gesicht. Ich lächle und gehe weiter, ohne Gedanken darüber zu machen."
dialog.minicg.4,"Manchmal ist es so einfach die Selbstbeherrschung und das Zeitgefühlt zu verlieren, die sich in einen fröhlichen Tanz drehen. "
dialog.minicg.5,"Aber ich bin hier ein bisschen in Eile. Mama sagte, dass ich ins Bett gehen soll."
dialog.minicg.6,"Ich laufe an der Küche vorbei, Richtung meines Zimmers. Die Tür ist zu, aber ich kann immer noch die kühlende Luft von der anderen Seite spüren. Mein erster Gedanke ist, dass da eine lebende Leiche in das Schlüsselloch pustet, lache ich spöttisch."
dialog.minicg.7,"Ahaha, das ist so lustig! Ich bin mir absolut sicher, dass wir keine Leichen in unserer Küche haben. Ich weiß ganz sicherlich, dass wir noch nie Leichen in unserer Küche hatten. Ich bin mir absolut sicher, dass..."
dialog.minicg.8,Ich breche in einen Lauf ein und sprinte Richtung der geschlossenen Tür. Die Schatten intensivieren deren chaotischen Tanz. Versuchen sie mich aufzuhalten oder zu beruhigen? Ich weiß nicht. Es ist sowieso gerade egal. Verstehst du's nicht?! 
