menu.newgame,Nuevo juego
menu.continue,Continuar
menu.jukebox,Jukebox
menu.options,Opciones
menu.credits,Créditos
menu.language,Idioma
menu.language.english,English
menu.language.french,Français
menu.language.german,Deutsch
menu.language.italian,Italiano
menu.language.spanish,Español
menu.language.polish,Polski
menu.language.russian,Русский
menu.layout,Disposición
menu.back,Atrás
menu.loading,Cargando
menu.demo.thanks,¡Gracias por jugar esta demo!
menu.demo.credits,Juego hecho por Nikita Kyurov<br>Porteado a Wii U por Source Macchiato
menu.demo.links,Únete a nuestro servidor de Discord :<br>https://sourcemacchiato.com/discord<br><br>La pagina de itch de Nikita Kyurov :<br>https://nikita-kryukov.itch.io<br><br>(pulsa HOME para salir)
menu.look.tv,Mira a tu televisión
menu.look.gamepad,Mira a tu GamePad
dialog.minicg.1,"Camino hacia mi habitación, intentando no mirar alrededor."
dialog.minicg.2,"Traviesas sombras danzan a mi alrededor. Se mueven por las paredes, por el techo..."
dialog.minicg.3,"Una de esas sombras pasa zumbando a mi lado, tocando mi cara muy levemente. Sonrío y sigo caminando, sin darle importancia."
dialog.minicg.4,"A veces es tan fácil perder la compostura y la noción del tiempo, cuando bailas alegremente."
dialog.minicg.5,Pero tengo un poco de prisa. Mamá me ha dicho que me vaya a la cama.
dialog.minicg.6,"Paso la cocina de camino a mi habitación. La puerta está cerrada, pero aún puedo sentir el aire helado que viene del otro lado. Lo primero que se me viene a la cabeza es que hay un zombi que sopla por la bocallave, riéndose con sorna."
dialog.minicg.7,"Ja-ja, ¡qué tontería! Estoy completamente segura de que no hay ningún zombi en nuestra cocina, lo sé con certeza. Estoy completamente segura de que..."
dialog.minicg.8,"Comienzo a correr hacia la puerta cerrada lo más rápido que puedo. Las sombras bailan con más intensidad su danza caótica, ¿intentan pararme o relajarme? No lo sé, ahora eso no importa. ¿¡No lo entiendes!?"
dialog.minicg.9,"Agito los brazos mientras corro, intentando ahuyentar a mis molestos perseguidores, de repente me doy cuenta de que no podré detenerme a tiempo. No tengo otra opción que romper la puerta."
dialog.minicg.10,"Si hay alguien dentro, seguro que le doy un susto de muerte. Pero... espera, ¿cómo puedo darle un susto de muerte a un muerto? ¿y si eso lo revive? No, no, no... ¡No quiero eso! ¿qué hago...?"
dialog.minicg.11,Antes de acabar de pensar mi hombro golpea la puerta y ésta se abre de golpe.
dialog.minicg.12,"Como era de esperar, no hay ningún zombi, pero hay una bolsa de leche recién comprada en el centro de la mesa, mirándome sin pestañear. Yo también la miro. No pasa nada."
dialog.minicg.13,Aunque... ¿qué esperaba? ¿gratitud? ¿He hecho algo para merecerla? A una bolsa de leche le es indiferente estar en el estante de una tienda o en la mesa de la cocina de mi madre.
dialog.minicg.14,"Por otro lado, nadie bebe leche en una tienda, lo que significa que la he sacado del sitio más seguro para llevarla a un lugar desconocido. ¡Lo siento, pobrecita!"
dialog.minicg.15,"Me doy la vuelta, avergonzada, y salgo de la habitación. No hago más que causar problemas a los demás..."
dialog.minicg.16,Me dirijo a mi habitación por un estrecho pasillo.
dialog.minicg.17,"En la puerta me encuentro con una criatura informe y familiar. Me agarra con fuerza y comienza a olisquear cada centímetro de mi cuerpo, como un perro famélico."
dialog.minicg.18,"No me resisto, sé que no servirá de nada. Me quedo en silencio y aguanto, su fuerte agarre impide que me mueva."
dialog.minicg.19,"Tras olisquearme de pies a cabeza, la criatura extiende sus horribles patas, mostrando una garra: delgada y afilada, como una daga."
dialog.minicg.20,- ¿Otra... vez?
dialog.minicg.21,Pregunto mientras miro a los vacíos ojos del monstruo.
dialog.minicg.22,- NO TE MUEVAS.
dialog.minicg.23,"La criatura aprieta mi brazo hasta que se marcan las venas. Yo sigo observando los agujeros donde deberían encontrarse sus ojos, ignorando el dolor."
dialog.minicg.24,- Lo prometí tantas veces...
