menu.newgame,Новая игра
menu.continue,Продолжить
menu.jukebox,Музыкальный автомат
menu.options,Настройки
menu.credits,Авторы
menu.language,Язык
menu.language.english,English
menu.language.french,Français
menu.language.german,Deutsch
menu.language.italian,Italiano
menu.language.spanish,Español
menu.language.polish,Polski
menu.language.russian,Русский
menu.layout,Макет
menu.back,Назад
menu.loading,Загрузка
menu.demo.thanks,Thanks for playing this demo !
menu.demo.credits,Made by Nikita Kryukov<br>Remade by Source Macchiato
menu.demo.links,Join our Discord server :<br>https://sourcemacchiato.com/discord<br><br>Nikita Kryukov itch page :<br>https://nikita-kryukov.itch.io<br><br>(press HOME to exit)
menu.look.tv,Look at your TV
menu.look.gamepad,Look at your GamePad
dialog.minicg.1,"Я иду в свою комнату, стараясь не смотреть по сторонам."
dialog.minicg.2,"Вокруг меня то и дело пляшут озорные тени; стремительными рывками перемещаются они по стенам, по потолку..."
dialog.minicg.3,"Одна из таких теней игриво проносится мимо, слегка коснувшись моего лица - я улыбаюсь и продолжаю идти, не обращая особого внимания."
dialog.minicg.4,Порой так легко потерять самообладание и закружиться в веселом танце - счет времени теряется вовсе.
dialog.minicg.5,"А мне, между прочим, совершенно некогда - мама сказала идти спать."
dialog.minicg.6,"Я иду в свою комнату мимо кухни. Даже сквозь запертую дверь оттуда веет могильным холодом. Первая же мысль - у двери, прислонившись, сидит мертвец и дует в замочную скважину, издевательски посмеиваясь."
dialog.minicg.7,"Ха-ха, ну какая же ерунда! Я точно знаю, что мертвецов на нашей кухне нет. Я точно знаю, что никаких мертвецов на нашей кухне нет и никогда не было. Я абсолютно точно уверена, что..."
dialog.minicg.8,"Сорвавшись с места, я со всех ног бегу к запертой двери. Тени тотчас принимаются плясать впятеро хаотичней; пытаются ли они меня отговорить или же успокоить, я не знаю. Сейчас это совсем не имеет значения! Вы что, не понимаете?!"
dialog.minicg.9,"Я размахиваю руками на бегу - так я пытаюсь отогнать назойливых преследователей, - и внезапно понимаю, что никак не успеваю затормозить. Выбора нет - придется выбивать дверь."
dialog.minicg.10,"Если внутри кто-то есть, я точно напугаю его до полусмерти. Хотя, постойте... если напугать мертвеца до полусмерти, не значит ли это, что он станет полуживым? Нет-нет, так не пойдет! Что же мне делать?.."
dialog.minicg.11,"Мысль не успела полностью подуматься, как я впечаталась плечом в дверь, отчего та распахнулась настежь."
dialog.minicg.12,"Мертвеца внутри, как и ожидалось, нет. Зато есть купленный мной сегодня пакет молока - он стоит в самом центре стола и смотрит на меня немигающими глазами. Я смотрю на него в ответ - ничего не происходит."
dialog.minicg.13,"Впрочем, чего я вообще жду? Благодарности? Но разве я сделала что-то, чтобы заслужить ее? Не думаю, что пакету молока очень уж важно, где находиться - на полке магазина или посреди стола на маминой кухне."
dialog.minicg.14,"С другой стороны, никто не станет пить молоко прямо в магазине - выходит, я забрала пакет из самого безопасного места в пугающую для него неизвестность. Прости, молочко!"
dialog.minicg.15,"Стыдливо отвернувшись, я спешу выйти из кухни. Да уж, от меня одни беды..."
dialog.minicg.16,Я иду в свою комнату по узкому коридору.
dialog.minicg.17,"У дверей мне встречается знакомое бесформенное существо; вцепившись в меня, оно принимается обнюхивать каждый сантиметр моего тела, словно голодная псина."
dialog.minicg.18,"Я не сопротивляюсь - знаю ведь, что это бессмысленно. Лишь молча терплю, пока оно крепко держит, не давая пошевелиться."
dialog.minicg.19,"Обнюхав меня с ног до головы, существо протягивает уродливые лапы, обнажая один-единственный коготь - тонкий и острый, словно лезвие."
dialog.minicg.20,Снова?..
dialog.minicg.21,Я вопросительно смотрю прямо в бездонные глазницы чудовища.
dialog.minicg.22,НЕ ШЕВЕЛИСЬ.
dialog.minicg.23,"Существо сильно сжимает мою руку, пока не проступают вены. Я же продолжаю смотреть в черные провалы глаз, игнорируя всякую боль."
dialog.minicg.24,Я ведь столько раз обещала...
dialog.minicg.25,СТОЙ СМИРНО.
dialog.minicg.26,"В тот же миг коготь вонзается мне в руку. Я почти ничего не чувствую, разве что едва ощутимое шевеление под кожей и звон натянутых сухожилий. Но затем... затем коготь впрыскивает свой яд."
dialog.minicg.27,Больно...
dialog.minicg.28,"Перед глазами проступает белесая пелена, пальцы судорожно сжимаются и разжимаются - я начинаю терять контроль над своим телом и медленно сползаю на пол. Совсем как в прошлый раз. Однако же..."
dialog.minicg.29,Почему... почему так жарко?
dialog.minicg.30,"Чувствую, как медленно закипает кровь. Сильнейшая дрожь пробегает по телу, парализуя каждую клеточку, пока мои вены и артерии раскаляются, едва выдерживая натиск."
dialog.minicg.31,"Я пытаюсь закричать, но вместо слов изрыгаю густую молочную пену; заметив это, существо в ярости бросается на меня и хватает за горло, не выпуская отравленного когтя из моей руки."
dialog.minicg.32,Убей меня. Убей меня!
dialog.minicg.33,Истерический вопль разносится по коридору; существо в порыве безумия принимается царапать мне шею.
dialog.minicg.34,"Во все стороны летят яркие брызги, звонко ударяясь о стены - я стараюсь отпечатать в памяти, куда упала каждая капелька, чтобы потом собрать их все до единой."
dialog.minicg.35,"Не забыть, главное - не забыть..."
dialog.minicg.36,Новая волна боли захлестнула меня. Все вмиг погасло.
dialog.minicg.37,ПОВТОРЯЙ: 'Я НИКОГДА НЕ БУДУ ПИТЬ МОЛОКО.'
dialog.minicg.38,Я...
dialog.minicg.39,ПОВТОРЯЙ.
dialog.minicg.40,Я никогда... не буду пить... молоко...
dialog.minicg.41,ПОВТОРЯЙ.
dialog.minicg.42,Я никогда не буду пить молоко!
dialog.minicg.43,Я НИКОГДА НЕ БУДУ ПИТЬ МОЛОКО!
dialog.cgmirror.1,"Я наконец-то добралась до своей комнаты. Мне так надоела вся эта суета - хорошо, что в любимой комнате я чувствую себя уютно и тепло! Даже странные звуки из-за двери ни капли меня не тревожат."
dialog.cgmirror.2,"Мама сказала мне идти спать, так что я должна совершить все необходимые приготовления. Я умылась и теперь стою у зеркала с зубной щеткой во рту."
dialog.cgmirror.3,"Смотрю на свое отражение, не изъявляющее ни малейшего желания ложиться в кровать. Да уж, понимаю тебя..."
dialog.cgmirror.4,"А ведь когда-то моим любимым временем дня были последние минуты перед сном. Момент ожидания того, как реальность неизбежно столкнется с миром сновидений, когда-то был моим любимым моментом."
dialog.cgmirror.5,"Я просыпалась только ради этого, проживала целый день ради этого. Моей заветной мечтой было спать целый день - как было бы здорово! Однако сны медленно, но верно ускользали."
dialog.cgmirror.6,"Словно кто-то вытаскивал их прямо из головы, один за одним, один за одним... пока не осталось совсем ничего. И вот я снова должна ложиться спать, хоть и не чувствую в этом нужды."
dialog.cgpills.1,"Закончив водные процедуры, я привычно протягиваю руку к своим лекарствам. Забавно, но я понятия не имею, как они действуют по отдельности - я всегда проглатывала их сразу, не задумываясь."
dialog.cgpills.2,"Сейчас же мне захотелось рассмотреть их поближе, повертеть в пальцах, попробовать на зуб..."
dialog.cgpills.3,"Что угодно, лишь бы подольше потянуть время."
dialog.cgpills.4,"На меня смотрит гладкая и вытянутая капсула красного цвета. Снаружи она покрыта мутной полупрозрачной пленкой, но кое-как рассмотреть ее содержимое все же возможно."
dialog.cgpills.5,"Итак, что же у тебя внутри?"
dialog.cgpills.6,"Слегка надавив на капсулу с обеих сторон, я с удивлением обнаруживаю, что она очень мягкая и податливая. Сдавливаю еще - капсула лопается; наружу вытекает липкая ярко-красная жидкость... Мерзость, мерзость!"
dialog.cgpills.7,"Таблетка отправляется прямиком в мусорный бак; я же принимаюсь тщательно отмывать руки. Нет уж, пить ЭТО я наотрез отказываюсь!"
dialog.cgpills.8,"Следующая на очереди - плоская таблетка такого же кроваво-красного цвета. На ней, к тому же, отпечатаны какие-то буквы... Ага, я поняла!"
dialog.cgpills.9,"Это тот самый препарат, от которого жутко клонит в сон. Но это не тот сон, совсем не тот. Ненастоящий, фальшивый! Нет, нет, нет! Даже видеть не желаю!"
dialog.cgpills.10,Вслед за первой эта таблетка отправляется в мусор.
